"","voxel_size_x in mm","voxel_size_y in mm","voxel_size_z in mm","area in mm2","volume in mm3","SA_Vol in mm-1","centroid_x in pixels","centroid_y in pixels","centroid_z in pixels","weighted_centroid_x in pixels","weighted_centroid_y in pixels","weighted_centroid_z in pixels"
"SAMPLE-024-T3",0.00703299,0.00703299,0.00703299,149.574570924249,15.885328332556,9.41589420079568,331.990944707802,357.312740193442,293.72293194613,332.380599319896,356.739754035928,294.400486990695
"SAMPLE-025-T3",0.00703299,0.00703299,0.00703299,85.7989170872324,10.6500661639427,8.05618629654312,301.100434520985,432.713947134565,253.425324471494,300.630583172567,432.914642639789,252.759206272923
"SAMPLE-028-T3",0.00703299,0.00703299,0.00703299,250.737620116066,15.3983358165019,16.2834232935327,401.496487972626,419.457409928751,441.838074160816,401.501665430365,419.911427699881,441.974433850223
"SAMPLE-029-T3",0.00703299,0.00703299,0.00703299,189.203785624497,6.97131148477992,27.1403431101271,257.894943879573,414.621448432925,469.029141384335,257.204437529022,415.864937070047,471.541327976999
"SAMPLE-030-T3",0.00703299,0.00703299,0.00703299,141.544871624098,7.66368753034739,18.4695515133669,378.42115881373,340.245631410783,263.7927873175,379.53795932909,340.580282969326,264.880238266319
"SAMPLE-031-T3",0.00703299,0.00703299,0.00703299,108.71204545542,6.6215831643672,16.4178328289273,216.559902652634,333.888446283583,314.437155533663,215.823069604948,331.910211921358,314.968959138378
"SAMPLE-032-T3",0.00703299,0.00703299,0.00703299,267.151424976237,25.4061317390425,10.5152341852064,338.954267145355,346.8928692822,437.03453939252,338.571719163661,346.814888922957,436.540656813658
"SAMPLE-033-T3",0.00703299,0.00703299,0.00703299,274.130158857972,21.4710323079176,12.7674419621121,437.981327602037,373.978558787353,501.367988455663,438.431617096595,374.130899832711,500.898159906197
"SAMPLE-034-T3",0.00703311,0.00703311,0.00703311,82.3381478877425,9.08349282446644,9.06459106412945,215.678001803661,251.024102509718,294.056967371444,214.997921053331,251.093337314603,295.012995929629
"SAMPLE-035-T3",0.00703299,0.00703299,0.00703299,170.510039516259,22.8030761613053,7.47750164539636,369.762250474873,356.927172572947,421.484591986662,369.706700033918,356.806725098001,420.964677135956
"SAMPLE-038-T3",0.00703299,0.00703299,0.00703299,213.647164591497,9.71556743460266,21.9901890475874,432.505685546854,387.983144336674,379.985591797579,432.300198135001,386.91527282063,381.511492669759
"SAMPLE-039-T3",0.00703299,0.00703299,0.00703299,73.9335454402678,4.17380670346761,17.7136965587898,398.603544929129,287.112582946494,198.508383913581,401.182500981962,286.33476405211,199.060495363089
"SAMPLE-042-T3",0.00703299,0.00703299,0.00703299,165.823623602024,8.01467967126577,20.6899876730613,324.971398535579,348.108976877821,438.09359648268,327.838684058796,346.574734163491,440.659169850015
"SAMPLE-043-T3",0.00703299,0.00703299,0.00703299,130.723019798515,8.10852799727084,16.1216708929801,305.668325331173,342.704435037361,338.342536350794,305.844975313576,343.167711854754,339.312557368399
"SAMPLE-044-T3",0.00703299,0.00703299,0.00703299,100.489521791497,8.67454808270371,11.5844100272917,316.421113583395,349.745869065469,340.77118097992,316.145036832494,350.116782455342,341.784466092388
