"","Tank","Treatment","Time","Day","Sample","vol_mm3","Rate_per_day","TA_(mmol/kgSW)","TCO2_in_(mmol/kgSW)","pCO2_in_(matm)","ar_in","mean_pHT","mean_Salinity","mean_Temperature","mean_Oxygen"
"58",10,"pH1","1","+ 85 days",23,14.4546449063082,-0.0427256983186501,2289.7,2130.865723,420.2328796,1.804283675,7.780565719,34.09032787,9.155737705,101.0459016
"59",10,"pH1","2","+ 134 days",23,13.6242403893903,-0.117242803730946,2276.4,2072.137695,328.7211914,2.223879126,7.947725367,33.9975,8.80625,99.55625
"60",10,"pH1","3","+ 183 days",23,13.0427163258963,-0.0871082547819085,2307.573384,2247.782959,839.7976074,1.008739956,7.844882247,33.83380952,9.052380952,94.56190476
"61",10,"pH1","4","+ 274 days",23,13.3670193467996,0.0273238286521647,2273.166667,2188.425781,747.5923462,1.196324506,7.804425057,34.05,9.012727273,96.86363636
"62",10,"pH1","5","+ 358 days",23,14.1711970661499,0.0716206360565484,2282.366667,2255.796631,1098.670898,0.791257085,7.851613247,34.06883333,8.25,100.0283333
"63",11,"pH1","1","+ 85 days",24,17.2618128877323,-0.0851145223973957,2300.866667,2220.708008,783.1277466,1.169317092,7.758391303,34.12655738,9.167213115,101.6016393
"64",11,"pH1","2","+ 134 days",24,16.6430052496402,-0.0731599130991455,2282.7,2200.139404,752.187561,1.178037278,7.869209646,34.023125,8.828125,99.321875
"65",11,"pH1","3","+ 183 days",24,15.885328332556,-0.0929086663993119,2305.617128,2218.251465,683.322998,1.211553012,7.931284842,34.1992,9.672,95.428
"66",11,"pH1","1","+ 85 days",25,11.6222968754315,-0.364876275769723,2300.866667,2220.708008,783.1277466,1.169317092,7.758391303,34.12655738,9.167213115,101.6016393
"67",11,"pH1","2","+ 134 days",25,11.0466981228851,-0.101072218711823,2282.7,2200.139404,752.187561,1.178037278,7.869209646,34.023125,8.828125,99.321875
"68",11,"pH1","3","+ 183 days",25,10.6500661639427,-0.0732755587623556,2305.617128,2218.251465,683.322998,1.211553012,7.931284842,34.1992,9.672,95.428
"69",11,"pH1","4","+ 274 days",25,10.6309244839746,-0.00197508755607317,2273.466667,2176.658203,707.7786865,1.298598637,7.789162279,34.05758065,9.183870968,97.25645161
"70",12,"pH1","1","+ 85 days",28,22.1446388970075,-0.135751371186439,2285.566667,2233.126953,966.2191162,0.965071983,7.730531952,34.12262295,9.239344262,101.157377
"71",12,"pH1","2","+ 134 days",28,20.7311410641043,-0.130265815953057,2283.7,2224.141113,910.8989868,1.013340937,7.90567817,33.98125,8.753125,100.034375
"72",12,"pH1","3","+ 183 days",28,15.3983358165019,-0.52497235834063,2304.976154,2273.739014,1062.480225,0.823265544,7.89172072,34.1096,9.536,96.888
"73",12,"pH1","4","+ 274 days",28,15.9479860694176,0.0392257497263458,2265.033333,2136.224854,559.3046875,1.561220365,7.783313749,34.03548387,9.020967742,98.72580645
"74",12,"pH1","1","+ 85 days",29,9.54702602958502,-0.150105691677575,2285.566667,2233.126953,966.2191162,0.965071983,7.730531952,34.12262295,9.239344262,101.157377
"75",12,"pH1","2","+ 134 days",29,8.72558688070238,-0.175594621937358,2283.7,2224.141113,910.8989868,1.013340937,7.90567817,33.98125,8.753125,100.034375
"76",12,"pH1","3","+ 183 days",29,6.97131148477992,-0.410305222809416,2304.976154,2273.739014,1062.480225,0.823265544,7.89172072,34.1096,9.536,96.888
"77",12,"pH1","4","+ 274 days",29,3.90503525288081,-0.483342958943202,2265.033333,2136.224854,559.3046875,1.561220365,7.783313749,34.03548387,9.020967742,98.72580645
"78",12,"pH1","5","+ 358 days",29,2.10283173414868,-0.549413831247811,2256.3,NA,NA,NA,7.794961973,34.07366667,8.71,100.2883333
"79",12,"pH1","1","+ 85 days",30,9.43158700176771,-0.080864100489186,2285.566667,2233.126953,966.2191162,0.965071983,7.730531952,34.12262295,9.239344262,101.157377
"80",12,"pH1","2","+ 134 days",30,8.39288830678957,-0.224754673276101,2283.7,2224.141113,910.8989868,1.013340937,7.90567817,33.98125,8.753125,100.034375
"81",12,"pH1","3","+ 183 days",30,7.66368753034739,-0.17731260032117,2304.976154,2273.739014,1062.480225,0.823265544,7.89172072,34.1096,9.536,96.888
"82",12,"pH1","4","+ 274 days",30,7.67549884265918,0.001693631691988,2265.033333,2136.224854,559.3046875,1.561220365,7.783313749,34.03548387,9.020967742,98.72580645
"83",12,"pH1","5","+ 358 days",30,4.82698100590735,-0.441807461940148,2256.3,NA,NA,NA,7.794961973,34.07366667,8.71,100.2883333
"84",13,"pH2","1","+ 85 days",31,7.92436607693096,-0.463953690305032,2306.8,2254.152832,911.8384399,0.960570461,7.672832059,34.09885246,9.132786885,101.4442623
"85",13,"pH2","2","+ 134 days",31,6.9363972692416,-0.254438380718564,2288.233333,2258.374268,1150.522339,0.821519781,7.812866976,34.0028125,8.6625,99.50625
"86",13,"pH2","3","+ 183 days",31,6.6215831643672,-0.0926241303823191,2336.639001,2319.973877,1192.923096,0.748378874,7.933955424,34.1828,9.196,96.104
"87",13,"pH2","1","+ 85 days",32,28.0077179036733,-0.0672374710529529,2306.8,2254.152832,911.8384399,0.960570461,7.672832059,34.09885246,9.132786885,101.4442623
"88",13,"pH2","2","+ 134 days",32,25.9424090803484,-0.150491231754958,2288.233333,2258.374268,1150.522339,0.821519781,7.812866976,34.0028125,8.6625,99.50625
"89",13,"pH2","3","+ 183 days",32,25.4061317390425,-0.0421874294825827,2336.639001,2319.973877,1192.923096,0.748378874,7.933955424,34.1828,9.196,96.104
"90",13,"pH2","4","+ 274 days",32,24.5304161435386,-0.0378776604053119,2265.6,2215.702393,970.2612915,0.941908237,7.717600672,34.12258065,8.827419355,97.46774194
"91",13,"pH2","1","+ 85 days",33,23.4337465968275,-0.127616939516706,2306.8,2254.152832,911.8384399,0.960570461,7.672832059,34.09885246,9.132786885,101.4442623
"92",13,"pH2","2","+ 134 days",33,22.1733964664382,-0.109762351172292,2288.233333,2258.374268,1150.522339,0.821519781,7.812866976,34.0028125,8.6625,99.50625
"93",13,"pH2","3","+ 183 days",33,21.4710323079176,-0.0646448659342005,2336.639001,2319.973877,1192.923096,0.748378874,7.933955424,34.1828,9.196,96.104
"94",13,"pH2","4","+ 274 days",33,20.7369947133332,-0.0375685112739579,2265.6,2215.702393,970.2612915,0.941908237,7.717600672,34.12258065,8.827419355,97.46774194
"95",13,"pH2","5","+ 358 days",33,22.3760248463769,0.0940939791823824,2270.8,NA,NA,NA,7.771968556,34.0635,8.608333333,100.4283333
"96",14,"pH2","1","+ 85 days",34,9.96303237782783,-0.085959606373791,2292.466667,2243.489014,955.1838989,0.93652755,7.685710846,34.09688525,9.006557377,101.4590164
"97",14,"pH2","2","+ 134 days",34,9.39351868006132,-0.116658544156826,2272.866667,2148.600342,542.2349243,1.506343822,7.781678558,34.0190625,8.19375,99.9625
"98",14,"pH2","3","+ 183 days",34,9.08349282446644,-0.067355572421188,2417.010537,2424.004639,1470.571411,0.654631282,8.061330263,34.079,8.59,95.38
